Zaman (sn),Voltaj (V),Label
37.9810,1.6552,1
37.9811,1.6577,1
37.9811,1.6601,1
37.9811,1.6633,1
37.9811,1.6738,1
37.9811,1.6697,1
38.0371,1.6681,1
38.0371,1.6657,1
38.0371,1.6609,1
38.0372,1.6577,1
38.0372,1.6544,1
38.0372,1.6504,1
38.0372,1.6464,1
38.0372,1.6407,1
38.0372,1.6319,1
38.0373,1.6335,1
38.0373,1.6343,1
38.0373,1.6367,1
38.0373,1.6407,1
38.0373,1.6464,1
38.0373,1.6520,1
38.0374,1.6577,1
38.0374,1.6625,1
38.0374,1.6665,1
38.0374,1.6609,1
38.0374,1.6601,1
38.0374,1.6585,1
38.0374,1.6552,1
38.0375,1.6480,1
38.0375,1.6432,1
38.0375,1.6383,1
38.0375,1.6343,1
38.0375,1.6311,1
38.0376,1.6295,1
38.0376,1.6375,1
38.0376,1.6391,1
38.0376,1.6399,1
38.0376,1.6432,1
38.0376,1.6448,1
38.0376,1.6480,1
38.0377,1.6504,1
38.0377,1.6528,1
38.0377,1.6544,1
38.0377,1.6552,1
38.0377,1.6552,1
38.0377,1.6552,1
38.0378,1.6544,1
38.0378,1.6536,1
38.0378,1.6552,1
38.0378,1.6528,1
38.0378,1.6480,1
38.0378,1.6423,1
38.0378,1.6391,1
38.0379,1.6359,1
38.0379,1.6335,1
38.0379,1.6311,1
38.0379,1.6319,1
38.0379,1.6335,1
38.0379,1.6375,1
38.0380,1.6440,1
38.0380,1.6552,1
38.0380,1.6778,1
38.0380,1.6818,1
38.0380,1.6851,1
38.0381,1.6851,1
38.0381,1.6851,1
38.0381,1.6818,1
38.0381,1.6786,1
38.0381,1.6730,1
38.0381,1.6657,1
38.0382,1.6560,1
38.0382,1.6359,1
38.0382,1.6343,1
38.0382,1.6351,1
38.0382,1.6375,1
38.0382,1.6407,1
38.0382,1.6448,1
38.0383,1.6472,1
38.0383,1.6512,1
38.0383,1.6601,1
38.0383,1.6633,1
38.0383,1.6617,1
38.0383,1.6609,1
38.0384,1.6536,1
38.0384,1.6552,1
38.0384,1.6568,1
38.0384,1.6577,1
38.0384,1.6568,1
38.0384,1.6552,1
38.0384,1.6488,1
38.0385,1.6448,1
38.0385,1.6383,1
38.0385,1.6399,1
38.0385,1.6440,1
38.0386,1.6407,1
38.0386,1.6367,1
38.0386,1.6351,1
38.0386,1.6286,1
38.0386,1.6311,1
38.0386,1.6383,1
38.0386,1.6432,1
38.0387,1.6536,1
38.0387,1.6544,1
38.0387,1.6641,1
38.0387,1.6633,1
38.0387,1.6617,1
38.0387,1.6609,1
38.0388,1.6625,1
38.0388,1.6560,1
38.0388,1.6464,1
38.0388,1.6415,1
38.0388,1.6295,1
38.0388,1.6270,1
38.0389,1.6198,1
38.0389,1.6222,1
38.0389,1.6286,1
38.0389,1.6303,1
38.0389,1.6343,1
38.0389,1.6391,1
38.0389,1.6432,1
38.0390,1.6456,1
38.0946,1.6577,1
38.0946,1.6601,1
38.0946,1.6609,1
38.0946,1.6617,1
38.0947,1.6568,1
38.0947,1.6560,1
38.0947,1.6560,1
38.0947,1.6536,1
38.0947,1.6520,1
38.0947,1.6504,1
38.0948,1.6359,1
38.0948,1.6327,1
38.0948,1.6286,1
38.0948,1.6246,1
38.0948,1.6262,1
38.0948,1.6262,1
38.0949,1.6278,1
