Zaman (sn),Voltaj (V),Label
1.3108,1.6915,1
1.3108,1.6915,1
1.3135,1.6875,1
1.3135,1.6834,1
1.3135,1.6762,1
1.3135,1.6625,1
1.3135,1.6593,1
1.3171,1.6423,1
1.3171,1.6319,1
1.3172,1.6254,1
1.3172,1.6198,1
1.3172,1.6214,1
1.3172,1.6206,1
1.3172,1.6311,1
1.3201,1.6375,1
1.3201,1.6496,1
1.3201,1.6633,1
1.3201,1.6722,1
1.3202,1.6826,1
1.3202,1.6891,1
1.3227,1.6939,1
1.3228,1.6899,1
1.3228,1.6899,1
1.3228,1.6834,1
1.3228,1.6770,1
1.3228,1.6657,1
1.3254,1.6552,1
1.3254,1.6464,1
1.3254,1.6359,1
1.3254,1.6206,1
1.3254,1.6109,1
1.3280,1.6133,1
1.3280,1.6206,1
1.3281,1.6278,1
1.3281,1.6367,1
1.3281,1.6544,1
1.3309,1.6714,1
1.3309,1.6786,1
1.3309,1.6859,1
1.3310,1.6907,1
1.3310,1.6939,1
1.3310,1.6907,1
1.3347,1.6899,1
1.3347,1.6834,1
1.3347,1.6770,1
1.3347,1.6689,1
1.3347,1.6568,1
1.3348,1.6423,1
1.3348,1.6311,1
1.3348,1.6238,1
1.3375,1.6182,1
1.3375,1.6182,1
1.3375,1.6182,1
1.3376,1.6278,1
1.3376,1.6359,1
1.3402,1.6456,1
1.3402,1.6585,1
1.3403,1.6746,1
1.3403,1.6826,1
1.3403,1.6891,1
1.3403,1.6915,1
1.3430,1.6931,1
1.3430,1.6907,1
1.3430,1.6867,1
1.3430,1.6778,1
1.3430,1.6673,1
1.3455,1.6593,1
1.3455,1.6480,1
1.3455,1.6335,1
1.3455,1.6190,1
1.3455,1.6109,1
1.3491,1.6117,1
1.3492,1.6174,1
1.3492,1.6262,1
1.3492,1.6359,1
1.3492,1.6512,1
1.3492,1.6625,1
1.3492,1.6730,1
1.3493,1.6834,1
1.3521,1.6899,1
1.3521,1.6947,1
1.3522,1.6907,1
1.3522,1.6867,1
1.3522,1.6834,1
1.3548,1.6754,1
1.3548,1.6625,1
