Zaman (sn),CH1 (V),CH2 (V),Label
6.2726,1.6649,1.6077,1
6.2726,1.6673,1.6262,1
6.2726,1.6657,1.6335,1
6.2726,1.6633,1.6278,1
6.2726,1.6665,1.6464,1
6.2726,1.6673,1.6335,1
6.2726,1.6689,1.6254,1
6.2726,1.6689,1.6351,1
6.2726,1.6762,1.6246,1
6.2726,1.6786,1.6158,1
6.2726,1.6746,1.6077,1
6.2726,1.6794,1.5964,1
6.2726,1.6794,1.5996,1
6.2726,1.6786,1.6045,1
6.2726,1.6802,1.6077,1
6.2726,1.6794,1.6238,1
6.2726,1.6762,1.6295,1
6.2726,1.6705,1.6327,1
6.2726,1.6673,1.6319,1
6.2726,1.6689,1.6278,1
6.2726,1.6681,1.6391,1
6.2726,1.6665,1.6504,1
6.2726,1.6738,1.6568,1
6.2726,1.6673,1.6802,1
6.2726,1.6633,1.6657,1
6.2726,1.6689,1.6560,1
6.2726,1.6681,1.6464,1
6.2726,1.6681,1.6351,1
6.2726,1.6649,1.6351,1
6.2726,1.6649,1.6367,1
6.2726,1.6665,1.6222,1
6.2726,1.6633,1.6101,1
6.2726,1.6593,1.6037,1
6.2726,1.6657,1.5867,1
6.2726,1.6625,1.5988,1
6.2726,1.6568,1.6061,1
6.2726,1.6609,1.6246,1
6.2726,1.6617,1.6335,1
6.2726,1.6625,1.6311,1
6.2726,1.6657,1.6303,1
6.2726,1.6633,1.6367,1
6.2726,1.6625,1.6311,1
6.2726,1.6681,1.6230,1
6.2726,1.6681,1.6093,1
6.2726,1.6665,1.6021,1
6.2726,1.6673,1.6109,1
6.2726,1.6657,1.5988,1
6.2726,1.6641,1.6061,1
6.2726,1.6609,1.6174,1
6.2726,1.6552,1.6198,1
6.2726,1.6568,1.6214,1
6.2726,1.6568,1.6230,1
6.2726,1.6472,1.6206,1
6.2726,1.6512,1.6375,1
6.2726,1.6609,1.6254,1
6.2726,1.6601,1.6045,1
6.2726,1.6633,1.6029,1
6.2726,1.6657,1.5884,1
6.2726,1.6673,1.5859,1
6.2726,1.6649,1.5964,1
6.2726,1.6665,1.5811,1
6.2726,1.6714,1.5827,1
6.2726,1.6722,1.5819,1
6.2726,1.6681,1.5755,1
6.2726,1.6657,1.5827,1
6.2726,1.6641,1.5916,1
6.2726,1.6609,1.5964,1
6.2726,1.6633,1.6141,1
6.2726,1.6641,1.5948,1
6.2726,1.6641,1.5875,1
6.2726,1.6665,1.5924,1
6.2726,1.6657,1.5932,1
6.2726,1.6649,1.6029,1
6.2726,1.6665,1.6085,1
6.2726,1.6665,1.6061,1
6.2726,1.6714,1.6012,1
6.2726,1.6705,1.5916,1
