Zaman (sn),CH1 (V),CH2 (V),CH3 (V),Label
1.8615,1.6093,1.6746,1.6480,1
1.8615,1.5980,1.6657,1.6407,1
1.8615,1.6037,1.6657,1.6375,1
1.8615,1.6045,1.6681,1.6359,1
1.8615,1.5980,1.6641,1.6311,1
1.8615,1.5972,1.6585,1.6286,1
1.8615,1.6045,1.6625,1.6303,1
1.8615,1.6069,1.6609,1.6359,1
1.8615,1.6045,1.6577,1.6359,1
1.8615,1.5956,1.6488,1.6351,1
1.8615,1.5988,1.6560,1.6351,1
1.8615,1.6141,1.6657,1.6391,1
1.8615,1.6109,1.6673,1.6311,1
1.8615,1.6021,1.6746,1.6278,1
1.8615,1.6037,1.6810,1.6286,1
1.8615,1.6012,1.6851,1.6311,1
1.8615,1.5948,1.6770,1.6319,1
1.8615,1.5924,1.6802,1.6327,1
1.8615,1.5932,1.6770,1.6351,1
1.8615,1.5996,1.6746,1.6343,1
1.8615,1.5948,1.6722,1.6383,1
1.8615,1.5956,1.6480,1.6456,1
1.8615,1.5988,1.6601,1.6488,1
1.8615,1.6045,1.6560,1.6520,1
1.8615,1.6053,1.6520,1.6544,1
1.8615,1.6125,1.6536,1.6464,1
1.8615,1.6158,1.6448,1.6480,1
1.8615,1.6077,1.6423,1.6432,1
1.8615,1.6077,1.6375,1.6367,1
1.8615,1.6077,1.6456,1.6415,1
1.8615,1.6085,1.6504,1.6423,1
1.8615,1.6077,1.6794,1.6391,1
1.8615,1.6077,1.6714,1.6391,1
1.8615,1.6069,1.6681,1.6383,1
1.8615,1.6125,1.6722,1.6359,1
1.8615,1.6037,1.6722,1.6520,1
1.8615,1.6037,1.6770,1.6480,1
1.8615,1.6053,1.6818,1.6472,1
1.8615,1.6085,1.6931,1.6528,1
1.8615,1.6021,1.6947,1.6488,1
1.8615,1.6037,1.6931,1.6601,1
1.8615,1.6085,1.6875,1.6560,1
1.8615,1.6077,1.6794,1.6544,1
1.8615,1.6085,1.6754,1.6552,1
1.8615,1.6045,1.6689,1.6544,1
1.8615,1.6069,1.6673,1.6432,1
1.8615,1.6109,1.6730,1.6432,1
1.8615,1.6174,1.6722,1.6391,1
1.8615,1.6141,1.6722,1.6391,1
1.8615,1.6190,1.6730,1.6520,1
1.8615,1.6222,1.6770,1.6480,1
1.9135,1.6222,1.6802,1.6472,1
1.9135,1.6206,1.6842,1.6407,1
1.9135,1.6214,1.6770,1.6415,1
1.9135,1.6222,1.6714,1.6448,1
1.9135,1.6246,1.6593,1.6504,1
1.9135,1.6214,1.6552,1.6536,1
1.9135,1.6254,1.6544,1.6641,1
1.9135,1.6101,1.6593,1.6641,1
1.9135,1.6133,1.6625,1.6544,1
1.9135,1.6101,1.6641,1.6448,1
1.9135,1.6085,1.6625,1.6472,1
1.9135,1.6093,1.6601,1.6552,1
1.9135,1.6069,1.6633,1.6520,1
1.9135,1.6077,1.6754,1.6488,1
1.9135,1.6117,1.6754,1.6504,1
1.9135,1.6109,1.6891,1.6440,1
1.9135,1.6077,1.6955,1.6367,1
1.9135,1.6246,1.6842,1.6488,1
1.9135,1.6286,1.6794,1.6504,1
1.9135,1.6262,1.6673,1.6552,1
1.9135,1.6254,1.6689,1.6536,1
1.9135,1.6270,1.6681,1.6520,1
1.9135,1.6319,1.6722,1.6552,1
1.9135,1.6351,1.6625,1.6625,1
1.9135,1.6303,1.6826,1.6609,1
1.9135,1.6343,1.6794,1.6714,1
1.9135,1.6343,1.6762,1.6649,1
1.9135,1.6327,1.6762,1.6496,1
1.9135,1.6286,1.6730,1.6472,1
1.9135,1.6335,1.6778,1.6464,1
1.9135,1.6335,1.6714,1.6448,1
1.9135,1.6262,1.6633,1.6488,1
1.9135,1.6214,1.6689,1.6488,1
1.9135,1.6238,1.6754,1.6552,1
1.9135,1.6230,1.6714,1.6544,1
1.9135,1.6174,1.6714,1.6464,1
1.9135,1.6198,1.6730,1.6480,1
1.9135,1.6037,1.6730,1.6536,1
1.9135,1.6029,1.6738,1.6601,1
1.9135,1.6004,1.6754,1.6593,1
1.9135,1.6037,1.6794,1.6593,1
1.9135,1.6101,1.6907,1.6504,1
1.9135,1.6149,1.6931,1.6528,1
1.9135,1.6085,1.7004,1.6464,1
1.9135,1.6141,1.7004,1.6472,1
1.9135,1.6174,1.6923,1.6480,1
1.9135,1.6125,1.6834,1.6456,1
1.9135,1.6359,1.6851,1.6480,1
1.9135,1.6351,1.6851,1.6440,1
1.9135,1.6375,1.6851,1.6440,1
1.9135,1.6375,1.6867,1.6456,1
1.9135,1.6295,1.6883,1.6520,1
1.9135,1.6295,1.6883,1.6520,1
1.9135,1.6319,1.6851,1.6560,1
1.9135,1.6286,1.6875,1.6528,1
1.9135,1.6246,1.6907,1.6528,1
1.9135,1.6270,1.6963,1.6585,1
1.9135,1.6230,1.6979,1.6568,1
1.9135,1.6133,1.6955,1.6560,1
1.9148,1.6029,1.6947,1.6560,1
1.9148,1.6053,1.6915,1.6560,1
1.9148,1.6133,1.6947,1.6488,1
1.9148,1.6101,1.6907,1.6464,1
1.9148,1.6093,1.6891,1.6359,1
1.9148,1.6117,1.6867,1.6343,1
1.9148,1.6158,1.6867,1.6802,1
1.9148,1.6149,1.6867,1.6818,1
1.9148,1.6141,1.6859,1.6770,1
1.9148,1.6286,1.6931,1.6746,1
1.9148,1.6343,1.7020,1.6673,1
1.9148,1.6311,1.7141,1.6585,1
1.9148,1.6303,1.7108,1.6568,1
1.9148,1.6343,1.7020,1.6593,1
1.9148,1.6311,1.6915,1.6641,1
1.9148,1.6286,1.6875,1.6665,1
1.9148,1.6286,1.6891,1.6295,1
1.9148,1.6286,1.6899,1.6295,1
1.9148,1.6262,1.6915,1.6399,1
1.9148,1.6230,1.6947,1.6359,1
1.9148,1.6286,1.6915,1.6415,1
1.9148,1.6311,1.6859,1.6480,1
1.9148,1.6319,1.6859,1.6593,1
1.9148,1.6311,1.6939,1.6609,1
1.9148,1.6343,1.7004,1.6568,1
1.9148,1.6319,1.7028,1.6585,1
1.9148,1.6319,1.7012,1.6544,1
1.9148,1.6415,1.6988,1.6528,1
1.9148,1.6432,1.7020,1.6496,1
1.9148,1.6383,1.6996,1.6552,1
1.9148,1.6327,1.6988,1.6593,1
1.9148,1.6295,1.6947,1.6585,1
1.9148,1.5610,1.6883,1.6625,1
1.9148,1.5698,1.6859,1.6617,1
1.9148,1.5738,1.6810,1.6601,1
1.9148,1.5819,1.6802,1.6585,1
1.9148,1.5884,1.6867,1.6520,1
1.9148,1.5835,1.6971,1.6464,1
1.9148,1.5867,1.6996,1.6432,1
1.9148,1.5908,1.6979,1.6423,1
1.9148,1.5972,1.6947,1.6407,1
1.9148,1.6021,1.6883,1.6399,1
1.9148,1.6697,1.6826,1.6383,1
1.9148,1.6585,1.6851,1.6359,1
1.9148,1.6536,1.6979,1.6391,1
1.9648,1.6440,1.7020,1.6383,1
1.9648,1.6327,1.7020,1.6391,1
1.9648,1.6286,1.6963,1.6440,1
1.9648,1.6222,1.6899,1.6464,1
1.9648,1.6198,1.6842,1.6415,1
1.9648,1.6117,1.6786,1.6399,1
1.9648,1.6061,1.6867,1.6520,1
1.9648,1.6174,1.6907,1.6520,1
1.9648,1.6149,1.6955,1.6488,1
1.9648,1.6077,1.6891,1.6577,1
1.9648,1.6149,1.6891,1.6568,1
1.9648,1.6230,1.6875,1.6601,1
1.9648,1.6222,1.6818,1.6593,1
1.9648,1.6311,1.6834,1.6560,1
1.9648,1.6375,1.6891,1.6593,1
1.9648,1.6423,1.6947,1.6560,1
1.9648,1.6415,1.6923,1.6456,1
1.9648,1.6295,1.6971,1.6415,1
1.9648,1.6327,1.6971,1.6544,1
1.9648,1.6375,1.7044,1.6464,1
1.9648,1.6335,1.7052,1.6440,1
1.9648,1.6367,1.7052,1.6464,1
1.9648,1.6399,1.7036,1.6480,1
1.9648,1.6327,1.6939,1.6496,1
1.9648,1.6311,1.6826,1.6512,1
1.9648,1.6343,1.6770,1.6544,1
1.9648,1.6488,1.6810,1.6037,1
1.9648,1.6552,1.6851,1.6093,1
1.9648,1.6536,1.6875,1.6045,1
1.9648,1.6705,1.6859,1.6125,1
1.9648,1.6979,1.6802,1.6206,1
1.9648,1.6923,1.6770,1.6295,1
1.9648,1.6899,1.6786,1.6303,1
1.9648,1.6923,1.6859,1.6270,1
1.9648,1.6915,1.6939,1.6262,1
1.9648,1.6851,1.7004,1.6270,1
1.9658,1.6746,1.7012,1.6834,1
1.9658,1.6697,1.6947,1.6762,1
1.9658,1.6738,1.6891,1.6649,1
1.9658,1.6593,1.6915,1.6536,1
1.9658,1.6311,1.6939,1.6504,1
1.9658,1.6303,1.6923,1.6375,1
1.9658,1.6528,1.6931,1.6327,1
1.9658,1.6488,1.6923,1.6327,1
1.9658,1.6472,1.6899,1.6303,1
1.9658,1.6480,1.6907,1.6399,1
1.9658,1.6407,1.6923,1.6423,1
1.9658,1.6440,1.6971,1.6351,1
1.9658,1.6464,1.6988,1.6375,1
1.9658,1.6504,1.6923,1.6407,1
1.9658,1.6560,1.6979,1.6448,1
1.9658,1.6585,1.6738,1.6456,1
1.9658,1.6399,1.6754,1.6472,1
1.9658,1.6480,1.6794,1.6496,1
1.9658,1.6536,1.6867,1.6512,1
1.9658,1.6585,1.6883,1.6278,1
1.9658,1.6834,1.6875,1.6238,1
1.9658,1.6842,1.6802,1.6319,1
1.9658,1.6794,1.6778,1.6375,1
1.9658,1.6746,1.6802,1.6432,1
1.9658,1.6722,1.6738,1.6472,1
1.9658,1.6714,1.7036,1.6496,1
1.9658,1.6697,1.7060,1.6480,1
1.9658,1.6665,1.7028,1.6472,1
1.9658,1.6609,1.6947,1.6560,1
1.9658,1.6617,1.6907,1.6722,1
1.9658,1.6407,1.6883,1.6722,1
1.9658,1.6351,1.6955,1.6673,1
1.9658,1.6343,1.7068,1.6665,1
1.9658,1.6375,1.6996,1.6585,1
1.9658,1.6359,1.7036,1.6512,1
1.9658,1.6367,1.7012,1.6464,1
1.9658,1.6343,1.7036,1.6464,1
1.9658,1.6367,1.7052,1.6512,1
1.9658,1.6391,1.7108,1.6415,1
1.9658,1.6351,1.7141,1.6359,1
1.9658,1.6585,1.7092,1.6375,1
1.9658,1.6601,1.7100,1.6399,1
1.9658,1.6641,1.6883,1.6456,1
1.9658,1.6617,1.6939,1.6488,1
1.9658,1.6625,1.6963,1.6528,1
1.9658,1.6609,1.7004,1.6568,1
1.9658,1.6609,1.7044,1.6601,1
1.9658,1.6560,1.7036,1.6617,1
1.9658,1.6544,1.6979,1.6633,1
1.9658,1.6585,1.6939,1.6689,1
1.9658,1.6399,1.6931,1.6633,1
1.9658,1.6391,1.6899,1.6560,1
1.9658,1.6375,1.7052,1.6488,1
1.9658,1.6407,1.7108,1.6472,1
1.9658,1.6423,1.7133,1.6407,1
1.9658,1.6391,1.7068,1.6359,1
1.9658,1.6407,1.6971,1.6351,1
1.9658,1.6448,1.6963,1.6254,1
1.9658,1.6464,1.7020,1.6286,1
1.9658,1.6512,1.7012,1.6295,1
1.9658,1.6504,1.7036,1.6343,1
1.9658,1.6544,1.7068,1.6375,1
1.9658,1.6544,1.7068,1.6472,1
1.9658,1.6528,1.7028,1.6512,1
1.9658,1.6512,1.6971,1.6536,1
1.9658,1.6504,1.6996,1.6536,1
1.9658,1.6496,1.7108,1.6552,1
2.0002,1.6391,1.7076,1.6593,1
2.0002,1.6359,1.7165,1.6601,1
2.0002,1.6319,1.7092,1.6544,1
2.0002,1.6335,1.7092,1.6568,1
2.0002,1.6319,1.7100,1.6560,1
2.0002,1.6311,1.7100,1.6504,1
2.0002,1.6367,1.7084,1.6504,1
2.0002,1.6504,1.7068,1.6448,1
2.0002,1.6456,1.7052,1.6480,1
2.0002,1.6432,1.6963,1.6496,1
2.0002,1.6560,1.6963,1.6577,1
2.0002,1.6577,1.6834,1.6528,1
2.0002,1.6520,1.6979,1.6504,1
2.0002,1.6528,1.7036,1.6456,1
2.0002,1.6528,1.7044,1.6464,1
2.0002,1.6544,1.6963,1.6504,1
2.0002,1.6504,1.6923,1.6488,1
2.0002,1.6351,1.6891,1.6480,1
2.0002,1.7125,1.6883,1.6496,1
2.0002,1.7052,1.6875,1.6407,1
2.0002,1.6963,1.6907,1.6448,1
2.0002,1.6947,1.6971,1.6512,1
2.0002,1.6979,1.6988,1.6617,1
2.0002,1.6899,1.6988,1.6520,1
2.0002,1.6875,1.6971,1.6528,1
2.0002,1.6883,1.6988,1.6399,1
2.0002,1.6899,1.7020,1.6367,1
2.0002,1.6947,1.7036,1.6399,1
2.0002,1.6262,1.6971,1.6423,1
2.0002,1.6407,1.6939,1.6520,1
2.0002,1.6496,1.6939,1.6536,1
2.0002,1.6544,1.6947,1.6415,1
2.0002,1.6448,1.6923,1.6351,1
2.0002,1.6528,1.6923,1.6520,1
2.0002,1.6617,1.6907,1.6625,1
2.0002,1.6657,1.7020,1.6689,1
2.0002,1.6657,1.7004,1.6673,1
2.0002,1.6689,1.7044,1.6665,1
2.0002,1.6722,1.7100,1.6641,1
2.0002,1.6673,1.7270,1.6633,1
2.0002,1.6673,1.7278,1.6496,1
2.0002,1.6641,1.7262,1.6568,1
2.0002,1.6786,1.7197,1.6593,1
2.0002,1.6778,1.7108,1.6085,1
2.0002,1.6754,1.7036,1.6125,1
2.0002,1.6722,1.6899,1.6085,1
2.0002,1.6649,1.6899,1.6158,1
2.0002,1.6609,1.6891,1.6230,1
2.0002,1.6665,1.6939,1.6343,1
2.0002,1.6738,1.6931,1.6327,1
2.0002,1.6705,1.6955,1.6351,1
2.0002,1.6681,1.6971,1.6335,1
2.0002,1.6601,1.7036,1.6319,1
2.0002,1.6601,1.6802,1.6746,1
2.0002,1.6552,1.6923,1.6649,1
2.0002,1.6705,1.6996,1.6802,1
2.0002,1.6746,1.7044,1.6689,1
2.0002,1.6730,1.7100,1.6617,1
2.0002,1.6593,1.7205,1.6480,1
2.0002,1.6512,1.7052,1.6440,1
2.0002,1.6512,1.7052,1.6343,1
2.0002,1.6560,1.7028,1.6351,1
2.0002,1.6577,1.6915,1.6343,1
2.0002,1.6568,1.7173,1.6351,1
2.0002,1.6577,1.7068,1.6335,1
2.0002,1.6432,1.7068,1.6190,1
2.0002,1.6472,1.7084,1.6246,1
2.0002,1.6496,1.7092,1.6246,1
2.0002,1.6593,1.7036,1.6286,1
2.0002,1.6641,1.7060,1.6278,1
2.0622,1.6681,1.7036,1.6335,1
2.0622,1.6689,1.7020,1.6351,1
2.0622,1.6746,1.7036,1.6375,1
2.0622,1.6786,1.6996,1.6399,1
2.0622,1.6810,1.7044,1.6391,1
2.0622,1.6810,1.7004,1.6383,1
2.0622,1.6818,1.7012,1.6528,1
2.0622,1.6851,1.6955,1.6512,1
2.0622,1.6762,1.6899,1.6609,1
2.0622,1.6810,1.6907,1.6625,1
2.0622,1.6802,1.6907,1.6601,1
2.0622,1.6818,1.6907,1.6585,1
2.0622,1.6802,1.6907,1.6625,1
2.0622,1.6762,1.6988,1.6601,1
2.0622,1.6762,1.7004,1.6552,1
2.0622,1.6705,1.7044,1.6552,1
2.0622,1.6649,1.7036,1.6432,1
2.0622,1.6681,1.7028,1.6480,1
2.0622,1.6697,1.7052,1.6359,1
2.0622,1.6657,1.7052,1.6488,1
2.0622,1.6633,1.7044,1.6520,1
2.0622,1.6552,1.7052,1.6617,1
2.0622,1.6585,1.7092,1.6577,1
2.0622,1.6601,1.7116,1.6528,1
2.0622,1.6593,1.7205,1.6585,1
2.0622,1.6714,1.7197,1.6746,1
2.0622,1.6730,1.7157,1.6714,1
2.0622,1.6689,1.7084,1.6714,1
2.0622,1.6786,1.7028,1.6665,1
2.0622,1.6786,1.6996,1.6512,1
2.0622,1.6802,1.7004,1.6536,1
2.0622,1.6834,1.7116,1.6448,1
2.0622,1.6786,1.7028,1.6464,1
2.0622,1.6778,1.7125,1.6544,1
2.0622,1.6770,1.7052,1.6609,1
2.0622,1.6689,1.7028,1.6496,1
2.0622,1.6722,1.7028,1.6552,1
2.0622,1.6746,1.7084,1.6544,1
2.0622,1.6697,1.7108,1.6552,1
2.0622,1.6722,1.7076,1.6552,1
2.0622,1.6714,1.7044,1.6528,1
2.0622,1.6762,1.6907,1.6609,1
2.0622,1.6794,1.7028,1.6593,1
2.0622,1.6834,1.6931,1.6552,1
2.0622,1.6834,1.6923,1.6488,1
2.0622,1.6891,1.6915,1.6504,1
2.0622,1.6907,1.6923,1.6496,1
2.0622,1.6851,1.6939,1.6262,1
2.0622,1.6842,1.6955,1.6311,1
2.0622,1.6834,1.7020,1.6327,1
2.0622,1.6842,1.7084,1.6375,1
2.0622,1.6851,1.7189,1.6311,1
2.0622,1.6818,1.7237,1.6270,1
2.0622,1.6851,1.7165,1.6262,1
2.0622,1.6859,1.7100,1.6262,1
2.0622,1.6770,1.7052,1.6278,1
2.0622,1.6762,1.7020,1.6327,1
2.0622,1.6802,1.7004,1.6520,1
2.0622,1.6802,1.7004,1.6609,1
2.0622,1.6802,1.7028,1.6601,1
2.0622,1.6826,1.7036,1.6568,1
2.0622,1.6891,1.6988,1.6448,1
2.0622,1.6915,1.6915,1.6440,1
2.0622,1.6859,1.6963,1.6472,1
2.0622,1.6859,1.7044,1.6448,1
2.0622,1.6931,1.7084,1.6399,1
2.0622,1.6939,1.7141,1.6311,1
2.0622,1.6971,1.7141,1.6286,1
2.0622,1.6939,1.7125,1.5932,1
2.0622,1.6923,1.7125,1.5956,1
2.0622,1.6891,1.7108,1.5996,1
2.0622,1.6834,1.7060,1.6077,1
2.0622,1.6802,1.7052,1.6125,1
2.0622,1.6810,1.7020,1.6109,1
2.0622,1.6746,1.6988,1.6012,1
2.0622,1.6730,1.7012,1.6061,1
2.0622,1.6762,1.7012,1.6077,1
2.0622,1.6738,1.7068,1.6125,1
2.0622,1.6794,1.7157,1.6343,1
2.0622,1.6786,1.7165,1.6311,1
2.0622,1.6786,1.7108,1.6278,1
2.0622,1.6818,1.7012,1.6278,1
2.0622,1.6810,1.6979,1.6262,1
2.0622,1.6754,1.7012,1.6246,1
2.0622,1.6786,1.7036,1.6448,1
2.0622,1.6778,1.7076,1.6488,1
2.0622,1.6681,1.7116,1.6432,1
2.0622,1.6593,1.7100,1.6399,1
2.0622,1.6601,1.7012,1.6359,1
2.0622,1.6633,1.6939,1.6391,1
2.0622,1.6657,1.6979,1.6375,1
2.0622,1.6625,1.7092,1.6367,1
2.0622,1.6657,1.7133,1.6367,1
2.0622,1.6730,1.7189,1.6407,1
2.0622,1.6746,1.7173,1.6359,1
2.0622,1.6730,1.7084,1.6262,1
2.0622,1.6794,1.6979,1.6286,1
2.0622,1.6834,1.6931,1.6319,1
2.0622,1.6818,1.6947,1.6415,1
2.0622,1.6834,1.6979,1.6415,1
2.0622,1.6746,1.6971,1.6270,1
2.0622,1.6697,1.6988,1.6295,1
2.0622,1.6649,1.6996,1.6278,1
2.0622,1.6625,1.6955,1.6303,1
2.0622,1.6665,1.6988,1.6295,1
2.0622,1.6681,1.7092,1.6343,1
2.0622,1.6657,1.7173,1.6367,1
2.0622,1.6609,1.7157,1.6335,1
2.0622,1.6633,1.7084,1.6407,1
2.0622,1.6593,1.7020,1.6432,1
2.0622,1.6738,1.7028,1.6536,1
2.0622,1.6802,1.7068,1.6544,1
2.0622,1.6834,1.7149,1.6641,1
2.0622,1.6859,1.7149,1.6609,1
2.0622,1.6778,1.7141,1.6568,1
2.0622,1.6818,1.7036,1.6536,1
2.0622,1.6842,1.6963,1.6633,1
2.0622,1.6883,1.6971,1.6689,1
2.0622,1.6834,1.7036,1.6625,1
2.0622,1.6851,1.7100,1.6577,1
2.0622,1.6834,1.7141,1.6609,1
2.0622,1.6786,1.7173,1.6585,1
2.0622,1.6818,1.7100,1.6520,1
2.0622,1.6818,1.7036,1.6536,1
2.0622,1.6907,1.7020,1.6552,1
2.1100,1.6883,1.7020,1.6512,1
2.1100,1.6875,1.7076,1.6391,1
2.1100,1.6931,1.7084,1.6464,1
2.1100,1.6963,1.7108,1.6512,1
2.1100,1.6963,1.7125,1.6536,1
2.1100,1.6891,1.7125,1.6496,1
2.1100,1.6955,1.7076,1.6504,1
2.1100,1.6963,1.7092,1.6488,1
2.1100,1.6963,1.7133,1.6440,1
2.1100,1.6915,1.7133,1.6415,1
2.1100,1.6931,1.7116,1.6472,1
2.1100,1.6955,1.7020,1.6512,1
2.1100,1.6907,1.7004,1.6456,1
2.1100,1.6947,1.7044,1.6399,1
2.1100,1.6915,1.7076,1.6343,1
2.1100,1.6988,1.7060,1.6399,1
2.1100,1.6996,1.7020,1.6415,1
2.1100,1.6996,1.6947,1.6520,1
2.1100,1.6979,1.6899,1.6560,1
2.1100,1.6971,1.6899,1.6585,1
2.1100,1.6939,1.6971,1.6593,1
2.1100,1.6931,1.7052,1.6488,1
2.1100,1.6963,1.7116,1.6464,1
2.1100,1.6915,1.7012,1.6472,1
2.1100,1.6931,1.6971,1.6536,1
2.1100,1.6883,1.6891,1.6536,1
2.1100,1.6891,1.6883,1.6528,1
2.1100,1.6859,1.6947,1.6448,1
2.1100,1.6883,1.6979,1.6343,1
2.1100,1.6899,1.7044,1.6286,1
2.1100,1.6754,1.6915,1.6270,1
2.1100,1.6754,1.6931,1.6383,1
2.1100,1.6762,1.6963,1.6391,1
2.1100,1.6754,1.6915,1.6367,1
2.1100,1.6802,1.6915,1.6295,1
2.1100,1.6826,1.6979,1.6246,1
2.1100,1.6810,1.6996,1.6270,1
2.1100,1.6834,1.6996,1.6254,1
2.1100,1.6826,1.6939,1.6351,1
2.1100,1.6810,1.6770,1.6391,1
2.1100,1.6971,1.6907,1.6367,1
2.1100,1.6996,1.6883,1.6423,1
2.1100,1.7004,1.6738,1.6415,1
2.1100,1.6988,1.6834,1.6448,1
2.1100,1.6939,1.6794,1.6504,1
2.1100,1.6923,1.6697,1.6560,1
2.1100,1.6891,1.6697,1.6528,1
2.1100,1.6859,1.6705,1.6512,1
2.1100,1.6641,1.6802,1.6496,1
2.1100,1.6697,1.7052,1.6480,1
2.1100,1.6705,1.6859,1.6504,1
2.1100,1.6689,1.6875,1.6432,1
2.1100,1.6625,1.6939,1.6399,1
2.1100,1.6657,1.6907,1.6383,1
2.1100,1.6689,1.6915,1.6375,1
2.1100,1.6657,1.6988,1.6351,1
2.1100,1.6681,1.6955,1.6367,1
2.1100,1.6689,1.6963,1.6343,1
2.1100,1.6907,1.6988,1.6359,1
2.1100,1.6754,1.6842,1.6391,1
2.1100,1.6705,1.6979,1.6415,1
2.1100,1.6681,1.6947,1.6488,1
2.1100,1.6585,1.6883,1.6560,1
2.1100,1.6617,1.6891,1.6552,1
2.1100,1.6617,1.6923,1.6625,1
2.1100,1.6673,1.6923,1.6705,1
2.1100,1.6633,1.6947,1.6714,1
2.1100,1.6641,1.6923,1.6738,1
2.1100,1.6649,1.6899,1.6714,1
2.1100,1.6786,1.6907,1.6714,1
2.1100,1.6810,1.6931,1.6697,1
2.1100,1.6810,1.6947,1.6609,1
2.1100,1.6939,1.6963,1.6641,1
2.1100,1.6907,1.7004,1.6625,1
2.1100,1.6899,1.7004,1.6560,1
2.1100,1.6818,1.6988,1.6552,1
2.1100,1.6851,1.7068,1.6544,1
2.1100,1.6818,1.7076,1.6544,1
2.1100,1.6786,1.7052,1.6520,1
2.1100,1.6738,1.6971,1.6536,1
2.1100,1.6802,1.6859,1.6528,1
2.1100,1.6754,1.6826,1.6536,1
2.1100,1.6673,1.6842,1.6464,1
2.1100,1.6085,1.6859,1.6480,1
2.1100,1.6198,1.6859,1.6480,1
2.1100,1.6295,1.6931,1.6423,1
2.1100,1.6246,1.6891,1.6456,1
2.1100,1.6367,1.6907,1.6552,1
2.1100,1.6834,1.6891,1.6609,1
2.1100,1.6875,1.6979,1.6617,1
2.1100,1.6786,1.7076,1.6649,1
2.1100,1.6867,1.7125,1.6609,1
2.1100,1.6947,1.7133,1.6560,1
2.1100,1.7536,1.7108,1.6568,1
2.1100,1.7415,1.7092,1.6657,1
2.1100,1.7310,1.7060,1.6625,1
2.1575,1.7358,1.6939,1.6552,1
2.1575,1.7253,1.6907,1.6456,1
2.1575,1.6786,1.6842,1.6456,1
2.1575,1.7205,1.6802,1.6512,1
2.1575,1.7197,1.6826,1.6464,1
2.1575,1.7165,1.6109,1.6472,1
2.1575,1.7141,1.6214,1.6512,1
2.1575,1.7076,1.6343,1.6488,1
2.1575,1.7084,1.6448,1.6472,1
2.1575,1.7133,1.6504,1.6480,1
2.1575,1.7108,1.6560,1.6593,1
2.1575,1.7141,1.6496,1.6544,1
2.1575,1.7173,1.6512,1.6536,1
2.1575,1.6593,1.6520,1.6464,1
2.1575,1.6617,1.6504,1.6536,1
2.1575,1.6714,1.7245,1.6568,1
2.1575,1.6657,1.7181,1.6601,1
2.1575,1.6778,1.7052,1.6544,1
2.1575,1.6947,1.6915,1.6496,1
2.1575,1.6963,1.6810,1.6568,1
2.1575,1.7012,1.6826,1.6496,1
2.1575,1.7100,1.6875,1.6528,1
2.1575,1.7108,1.6907,1.6480,1
2.1575,1.7302,1.6859,1.6778,1
2.1575,1.7374,1.6762,1.6705,1
2.1575,1.7262,1.6697,1.6689,1
2.1575,1.7390,1.6649,1.6544,1
2.1575,1.6867,1.6649,1.6778,1
2.1575,1.6770,1.6641,1.6754,1
2.1575,1.6746,1.6625,1.6714,1
2.1575,1.6730,1.6585,1.6722,1
2.1575,1.6665,1.6577,1.6754,1
2.1575,1.6770,1.6585,1.6899,1
2.1575,1.6681,1.6730,1.6520,1
2.1575,1.6585,1.6834,1.6560,1
2.1575,1.6625,1.6875,1.6552,1
2.1575,1.6609,1.6851,1.6689,1
2.1575,1.7052,1.6754,1.6544,1
2.1575,1.6979,1.6738,1.6552,1
